DocId,Tweet,Processed,Score
70,How come the Pres is using we instead of I tonight?  #debates,how come the pres is using we instead of i tonight #debates,14.107351
72,@BarackObama just spent the first 30 second of his opening statement talking about his wife. Guys --  take notes! #PresidentialDebate,just spent the first second of his opening statement talking about his wife guys take notes #presidentialdebate,27.375076999999997
77,Darn it --  #Obama. Race to the Top is not a solution --  it's a corporate for-profit fiasco. #rttt #edchat,darn it #obama race to the top is not a solution it's a corporate forprofit fiasco #rttt #edchat,7.380174
78,Where Are They Now: I just figured out that Mitt Romney played the original Eddie Munster. The hair gave it away.,where are they now i just figured out that mitt romney played the original eddie munster the hair gave it away,14.121763999999999
80,Obama says thanks to his wife for twenty years. I wonder how many people he won over with that. #presidentialdebate #obama,obama says thanks to his wife for twenty years i wonder how many people he won over with that #presidentialdebate #obama,22.373281000000002
81,Hmm... hopefully #POTUS is warming up... Romney seems to have brought his A-game. #debates,hmm hopefully #potus is warming up romney seems to have brought his agame #debates,10.820427
82,Changed my mind. Now live tweeting this Full House episode. Uncle Joey Just pulled a classic cut it out! haha! #PresidentialDebate what?,changed my mind now live tweeting this full house episode uncle joey just pulled a classic cut it out haha #presidentialdebate what,24.46636
84,The answer is 'yes -- ' we can help. Here's an application to work for our household staff. #AnnRomney #Debates,the answer is yes we can help here's an application to work for our household staff #annromney #debates,16.453298999999998
85,President Obama mentioned tuition loans and that bitch nigga Romney chuckled....like it was a fuckin joke or sumn..,president obama mentioned tuition loans and that bitch nigga romney chuckledlike it was a fuckin joke or sumn,16.67172
93,I'd rather go to a strip club than watch the #presidentialdebate --  because at least those liars have boobs. #fuckpolitics,i'd rather go to a strip club than watch the #presidentialdebate because at least those liars have boobs #fuckpolitics,10.002005
98,My President #debates! And recognizes his woman in his first breath. Love them! #blacklove 20th #Anniversary http://t.co/XgjDelye,my president #debates and recognizes his woman in his first breath love them #blacklove 20th #anniversary,23.547427
100,Commence live tweeting the #PresidentialDebate. Romney's facial expressions are going to make some awesome gifs tomorrow.,commence live tweeting the #presidentialdebate romney's facial expressions are going to make some awesome gifs tomorrow,21.224412
104,Bummed I can't watch Mitt Romney prove what a wish-washy republican he is until tomorrow morning.,bummed i can't watch mitt romney prove what a wishwashy republican he is until tomorrow morning,9.135223000000002
106,#Romney habla de presupuesto equilibrado pero republicanos son campeones de los deficits,#romney habla de presupuesto equilibrado pero republicanos son campeones de los deficits,11.407109
107,Watch the debate between Mitt and Barack! This is important for those that are part of The Barack Obama Campaign! #Obama2012 #BO2012,watch the debate between mitt and barack this is important for those that are part of the barack obama campaign #obama2012 #bo2012,26.246516999999997
109,Does President Obama know what trickle down is? The question wasn't education.,does president obama know what trickle down is the question wasn't education,20.767440999999998
111,Romney is going to be very tough tonight. This could get heated. Chris Wallace #DenverDebate #tcot,romney is going to be very tough tonight this could get heated chris wallace #denverdebate #tcot,20.992446
112,#debate2012 Mitt Romney just gave us five solid ways he is going to create more jobs.,#debate2012 mitt romney just gave us five solid ways he is going to create more jobs,25.879416
113,Government trying to keep education prices low? Lol giving out money to do that has failed and you've saturated the job market #debates,government trying to keep education prices low lol giving out money to do that has failed and you've saturated the job market #debates,34.742959
114,President Obama you had me at these two words TUITION LOW,president obama you had me at these two words tuition low,13.428484
116,Yesssss for that shout out to your wife..... Uhhh I love this man #Obama2012,yesssss for that shout out to your wife uhhh i love this man #obama2012,14.987884000000001
120,President Obama: 'The question here tonight is not where weve been  its where were going' http://t.co/fIyDn6yy #Debates,president obama the question here tonight is not where weve been its where were going #debates,23.839698
121,i've been out of work for three years can ya help me? you talking to me? #mittromney,i've been out of work for three years can ya help me you talking to me #mittromney,13.777377000000001
122,#Romney the answer is yes.  We can help but it's going to take a different approach.,#romney the answer is yes we can help but it's going to take a different approach,18.057741000000004
124,Ew why did Obama touch Romney?? I hope Mr. President doesn't get cooties! #thegreatdebate,ew why did obama touch romney i hope mr president doesn't get cooties #thegreatdebate,17.591424
125,New economic patriotism. What's he going to use THAT to justify? #debates,new economic patriotism what's he going to use that to justify #debates,21.366566
131,You better wish your boo HAPPY ANNIVERSARY before you answer the question! #PresidentialDebate2012 #obama2012,you better wish your boo happy anniversary before you answer the question #presidentialdebate2012 #obama2012,24.666866
133,Happy Anniversary Mr and Mrs Obama.  Best wishes for many more wonderful years. #debate #obama2012,happy anniversary mr and mrs obama best wishes for many more wonderful years #debate #obama2012,30.490866
134,Real man!!!!  RT @WOSMINISTRY: What a way to open up by celebrating your wife!!!!! I love my President!!!!!! #PresidentialDebate,real man rt what a way to open up by celebrating your wife i love my president #presidentialdebate,23.716407
137,watching the Presidential Debate .bout to do this english homework and do my nails and go to bed. #OBAMA,watching the presidential debate bout to do this english homework and do my nails and go to bed #obama,17.020567
138,Obama didn't directly address the fundamental problem with trickle-down. He decided to answer the question he wanted. #PresidentialDebate,obama didn't directly address the fundamental problem with trickledown he decided to answer the question he wanted #presidentialdebate,14.120982999999999
140,Mason Tea Party Meeting Set for Thursday --  October 4 --  6:30 pm - Mason County News http://t.co/McnmBER1 #teaparty,mason tea party meeting set for thursday october mason county news #teaparty,8.899365
142,A woman came up to me with a baby in her arms asking for help. So i bought her -#Romney,a woman came up to me with a baby in her arms asking for help so i bought her #romney,10.322892
143,Watching the debate in my schools auditorium. I love this man! #OBAMA2012 http://t.co/sGV1rc4K,watching the debate in my schools auditorium i love this man #obama2012,17.803877
145,@TheFix: Good on Lehrer. FORCE them to engage one another directly. #debates and totally dodged by the prez.  Doesn't look good.,good on lehrer force them to engage one another directly #debates and totally dodged by the prez doesn't look good,27.292914
147,red tops. RT @Fatin10: Mitt Romney gon put that dope in these streets ...,red tops rt mitt romney gon put that dope in these streets,6.288798
148,Awe it's the Obama's Anniversary tonight - I hope he's taking her out somewhere special because that's got to suck being stuck at a #debates,awe it's the obama's anniversary tonight i hope he's taking her out somewhere special because that's got to suck being stuck at a #debates,29.886403999999995
149,Obama on creating jobs: Invest and reform rather than cut taxes #debates. America does best when the middle class does best,obama on creating jobs invest and reform rather than cut taxes #debates america does best when the middle class does best,29.647240999999994
154,#denverdebate Obama: We have to improve our education system --  we have a program called Race to the Top --  improving how we train teachers,#denverdebate obama we have to improve our education system we have a program called race to the top improving how we train teachers,25.677113000000006
156,@CBSEveningNews: LIVE NOW: The first 2012 Presidential debate from Denver --  CO. WATCH: http://t.co/OzF0Xkn6  and on CBS stations #debates,live now the first presidential debate from denver co watch and on cbs stations #debates,34.410385
157,#debates when did it become popular to bullet point specific sorry people in specific sorry places?,#debates when did it become popular to bullet point specific sorry people in specific sorry places,20.785031
160,They should show the video of Mitt Romney talking ish during the debate and see what he has to say for himself,they should show the video of mitt romney talking ish during the debate and see what he has to say for himself,17.913081
161,Playing the Presidential Debate drinking game. The intro is almost over and I'm buzzed. #Mitt,playing the presidential debate drinking game the intro is almost over and i'm buzzed #mitt,15.097435999999998
162,I hope that Mitt Romney does something to indicate when he uses one of his #zingers. He should wink or something.,i hope that mitt romney does something to indicate when he uses one of his #zingers he should wink or something,19.996588000000003
164,Rubio: Debates Allow Voters to See Mitt Romney 'Without the Filter': Denver With the first Presidential debate o... http://t.co/1DKdYhws,rubio debates allow voters to see mitt romney without the filter denver with the first presidential debate o,28.065649
167,I know I'm live-tweeting but I don't really want to see live tweets popping up on this live debate I'm watching as well. #debates,i know i'm livetweeting but i don't really want to see live tweets popping up on this live debate i'm watching as well #debates,38.724457
172,#PresidentialDebate the only way @MittRomney is going to help any of us get a job is if we live overseas.,#presidentialdebate the only way is going to help any of us get a job is if we live overseas,28.588872000000006
173,I bet the trash talk was flowing between Obama and Romney in the opening of the #debates,i bet the trash talk was flowing between obama and romney in the opening of the #debates,13.550895
174,i love Obama so much. He gives hope for keeping my rights as a gay man.He will help our women and our country. Progress for Tomorrow. #obama,i love obama so much he gives hope for keeping my rights as a gay manhe will help our women and our country progress for tomorrow #obama,18.914906000000002
180,Hey Obama...Check out the size of my American Flag pin ~ Mitt Romney,hey obamacheck out the size of my american flag pin mitt romney,7.720017
181,BARACK OBAMA IS GONNA WIN THE ELECTION THIS YEAR . I LOVE MY BLACK PRESIDENT . YEHH DIG ?,barack obama is gonna win the election this year i love my black president yehh dig,21.10937
182,As long as obama isnt president again ill be a happy camper #hatepolitics,as long as obama isnt president again ill be a happy camper #hatepolitics,12.230392
186,@Mxikey: Obama Know Damn Well He Did Not Want To Shake Mitt Romney Hand That's What Im Thinking!!!,obama know damn well he did not want to shake mitt romney hand that's what im thinking,12.482353
189,People hate mitt Romney based off of twitter... how about actually watching the debate and learning something.,people hate mitt romney based off of twitter how about actually watching the debate and learning something,25.302075000000002
192,and only cus i have a hmwrks assingment for my writing class on #PresidentialDebate,and only cus i have a hmwrks assingment for my writing class on #presidentialdebate,5.422986
193,Obama starts by wishing wife Happy Anniversary! He would be in the dog house if he didn't do that! #debates,obama starts by wishing wife happy anniversary he would be in the dog house if he didn't do that #debates,26.788978
194,Who wouldn't want Mitt Romney to be part of their anniversary? #presidentialdebate #mittromney,who wouldn't want mitt romney to be part of their anniversary #presidentialdebate #mittromney,12.644720999999999
196,Im waiting for one of them to yell AND LIVE FROM NEW YORK --  ITS SATURDAY NIGHT LIVE! #debate2012 #tcot,im waiting for one of them to yell and live from new york its saturday night live #debate2012 #tcot,29.989673000000003
202,Strong open by #Obama: anniversary mention is sympathetic if a bit pro forma. #debate,strong open by #obama anniversary mention is sympathetic if a bit pro forma #debate,16.550283
203,A woman came up to me and said that she hadn't had a job since May --  I said 'please stop touching me' - Mitt Romney (paraphrased),a woman came up to me and said that she hadn't had a job since may i said please stop touching me mitt romney paraphrased,20.541522999999998
205,Every one of those five points of Romney hits Obama in the base.  #denverdebate,every one of those five points of romney hits obama in the base #denverdebate,13.046644999999998
212,@MittRomney off to a great start --  immediately outlining 5 points for his Presidency #PresidentialDebate,off to a great start immediately outlining points for his presidency #presidentialdebate,11.153941999999999
218,How are you going to hire those teachers? How are you go open slots? Keep tuition low? #DenverDebate,how are you going to hire those teachers how are you go open slots keep tuition low #denverdebate,24.898996
220,I want to make sure to keep Tuition LOW! -President Obama #debate2012 #PLEASE #YES,i want to make sure to keep tuition low president obama #debate2012 #please #yes,30.338278000000006
221,Watching the #Debates while @JayB521 is putting weeks of dirty dishes in the dishwasher,watching the #debates while is putting weeks of dirty dishes in the dishwasher,11.565466
226,I think that Romney & Obama should fist fight and whoever wins can be president,i think that romney obama should fist fight and whoever wins can be president,10.931841
227,MAJOR POINTS ON OBAMA SHOUTING OUT MICHELLE FOR THE HAPPY ANNIVERSARY #PRESIDENTIALDEBATE,major points on obama shouting out michelle for the happy anniversary #presidentialdebate,20.609385
228,I'd like to thank @nprnews for discussing the pivoting debate tactic. I will definitely be looking out for it tonight. #debates,i'd like to thank for discussing the pivoting debate tactic i will definitely be looking out for it tonight #debates,25.009862
229,The bottom 50% of income earners took in 13% of income and paid less than 3% of federal income taxes. #tcot #p2 #tiot #tlot #Obama2012 #DNC,the bottom of income earners took in of income and paid less than of federal income taxes #tcot #p2 #tiot #tlot #obama2012 #dnc,19.314903
230,telling your wife happy anniversary in front of basically the entire country #itsreal #obama2012,telling your wife happy anniversary in front of basically the entire country #itsreal #obama2012,24.776324
231,Does @dianesawyer have an iPad 1 up there? #abc #debates I wonder if its her #byod? #thriftynetwork,does have an ipad up there #abc #debates i wonder if its her #byod #thriftynetwork,7.394073
234,#presidentialdebate   #nobama opens up with best thing ever marrying his wife 20 years ago . So lame this country needs help,#presidentialdebate #nobama opens up with best thing ever marrying his wife years ago so lame this country needs help,24.720734
237,Red states @MittRomney red tie! blue state #obama blue tie...interesting...@anananguyen: What boring ties! #debate #overit #tcot,red states red tie blue state #obama blue tieinteresting what boring ties #debate #overit #tcot,29.957597
242,Mitt Romney wants to say  man f--k you and your time difference  lol #PopThat,mitt romney wants to say man fk you and your time difference lol #popthat,12.346388999999999
246,RT @baratunde: I hope during the #debates open discussion obama and romney just talk about football,i hope during the #debates open discussion obama and romney just talk about football,16.806643
248,BHO gives MO anniversary greetings. Opens #PresidentialDebate  pointing to economic improvement. Gets in dig on Romney's approach to economy,bho gives mo anniversary greetings opens #presidentialdebate pointing to economic improvement gets in dig on romney's approach to economy,24.660208000000004
249,I'm sure this is the most romantic place you could imagine -- here with me! - @MittRomney to POTUS #DenverDebate,i'm sure this is the most romantic place you could imagine here with me to potus #denverdebate,14.598941
250,Who needs studying. Il put that off --  I gotta watch this debate #romneyryan2012 #mittromney #Debate2012,who needs studying il put that off i gotta watch this debate #romneyryan2012 #mittromney #debate2012,24.327594
253,President Obama you just better plug in your wife on y'all anniversary,president obama you just better plug in your wife on y'all anniversary,22.430307000000003
254,Luckily --  the noise ban doesn't apply in my house. And I need another beer. #debates,luckily the noise ban doesn't apply in my house and i need another beer #debates,11.684636999999999
258,RT @RebelMouse: For real-time coverage of the Presidential #debates we recommend @ckanal --  senior editor at HuffPost http://t.co/dg3QWVAK,for realtime coverage of the presidential #debates we recommend senior editor at huffpost,11.633264
259,Honesty --  Mitt Romney is not ready to go against President Obama! #nbcpolitics,honesty mitt romney is not ready to go against president obama #nbcpolitics,13.035365
263,I may be wrong but I think that Mitt is starting to cry.  He just realized he's not going to be president. #debates,i may be wrong but i think that mitt is starting to cry he just realized he's not going to be president #debates,25.801921999999998
264,#debates Romney voice deeper than usual - again run thru of his basic policy proposals -against trickle down govt  @BBCNewsUS,#debates romney voice deeper than usual again run thru of his basic policy proposals against trickle down govt,18.609211000000002
266,Chicago is tied w. Detroit for worst entrepreneurship rate among 15 largest metropolitan areas in nation http://t.co/uEuXAPig #debates,chicago is tied w detroit for worst entrepreneurship rate among largest metropolitan areas in nation #debates,15.153229999999997
267,RT @alexkinsella: RT @MikeDrucker: Barack Obama should play sad trombone after each of Romney's zingers. #debates,barack obama should play sad trombone after each of romney's zingers #debates,18.292617
270,I feel really bad for Barack and Michelle for having to spend their 20th anniversary with Mitt Romney.,i feel really bad for barack and michelle for having to spend their 20th anniversary with mitt romney,24.182709
276,@iamwill  i say romney tried to get us too emotional from the beginning. wrong. #debates,i say romney tried to get us too emotional from the beginning wrong #debates,24.673016999999998
277,Obama is the only president that makes me WANT to watch a presidential debate.,obama is the only president that makes me want to watch a presidential debate,25.366722
278,President Obama should say look at my wife.... Look at yours..... I already won.,president obama should say look at my wife look at yours i already won,23.122152
279,President Obama and Mitt Romney have both taken the stage at the first presidential debate in Denver. Watch LIVE here: http://t.co/7XXbPcpp,president obama and mitt romney have both taken the stage at the first presidential debate in denver watch live here,29.735412000000004
280,Let's go #Romney. Did anyone else notice that he actually answered the 1st question unlike Obama?,let's go #romney did anyone else notice that he actually answered the 1st question unlike obama,17.314868999999998
285,Asking Romney for a job-- not going to happen. Even if he's elected he's not going to be hiring cause he wants to cut government.  #debates,asking romney for a job not going to happen even if he's elected he's not going to be hiring cause he wants to cut government #debates,30.093399
289,President Obama addresses deficit by saying he wants to change tax code without putting the burden on middle class #debate,president obama addresses deficit by saying he wants to change tax code without putting the burden on middle class #debate,29.546002999999995
290,Romney acaba de proponer ms comercio con Amrica Latina. No s si esperanzarme o preocuparme #Debates.  Streaming here http://t.co/XwvkLaeW,romney acaba de proponer ms comercio con amrica latina no s si esperanzarme o preocuparme #debates streaming here,20.271509000000002
292,Hey Obama are you going to actualy answer the question? Lol #mitt2012,hey obama are you going to actualy answer the question lol #mitt2012,13.269237
294,Obama: Here's what we need to do... If only he knew someone in the White House who could do something. #DenverDebate,obama here's what we need to do if only he knew someone in the white house who could do something #denverdebate,14.604754
298,Lehrer's question dovetails nicely with @npr's story on each candidate's 5-Point Plan --  and how 4 of the 5 are exactly the same. #debates,lehrer's question dovetails nicely with s story on each candidate's point plan and how of the are exactly the same #debates,20.873412999999996
300,The undecided voters respond favorably to Romney when he gave specifics o his plan  #CNN #PresidentialDebate,the undecided voters respond favorably to romney when he gave specifics o his plan #cnn #presidentialdebate,18.122581
304,@MittRomney answering the question with a personal story. Great way to start the debate off. #DenverDebate #tcot,answering the question with a personal story great way to start the debate off #denverdebate #tcot,28.941657
306,Mitt Romney blague sur le 20e anniversaire du couple Obama... un dbat prsidentiel --  l'endroit le + romantique pour clbrer #etatsunis2012,mitt romney blague sur le 20e anniversaire du couple obama un dbat prsidentiel l'endroit le romantique pour clbrer #etatsunis2012,4.07034
309,@Parxxx Bonifay for President 2012. #debates should be done on a @mastercraftboat XStar not in a boring auditorium.,bonifay for president #debates should be done on a xstar not in a boring auditorium,15.830827
312,RT @dennygirltwo: @Pedlar7: WOW. #obama was one of 14 senators who voted AGAINST the Stafford Act for NOLA post-Katrina. AMAZING!,wow #obama was one of senators who voted against the stafford act for nola postkatrina amazing,10.187191000000002
313,Got my pen and paper --  ready to write down all the stupid shit Romney says. #Obama2012,got my pen and paper ready to write down all the stupid shit romney says #obama2012,18.131473999999997
314,Obama has been saying we are fighting our way back for 3.5 years.. when do we win that fight? #DenverDebate #CantAfford4More,obama has been saying we are fighting our way back for years when do we win that fight #denverdebate #cantafford4more,17.553569
316,Look at my next president --  Barack Obama! Show this Mormon that we livin in 2012 and not 1900.,look at my next president barack obama show this mormon that we livin in and not,17.943276
317,@Spetershack11: from behing --  Mitt Romney's head looks largely unproportional to his body... must be why @jruetz16 is voting for him,from behing mitt romney's head looks largely unproportional to his body must be why is voting for him,10.115296
318,Ok so Mitt isn't making any sense! He just described basically what the President's plan was! Obama just said educate! Improve schools!,ok so mitt isn't making any sense he just described basically what the president's plan was obama just said educate improve schools,24.092604
323,Invest in energy..... That's done we'll for him during his presidency. #solyndra #debates,invest in energy that's done we'll for him during his presidency #solyndra #debates,13.129021999999999
324,The first issue in the debate: convincing my parents we shouldn't watch it on Fox News. #denverdebate,the first issue in the debate convincing my parents we shouldn't watch it on fox news #denverdebate,20.281316000000004
326,Regardless of whether President Obama is reelected or not --  his wife will still be there. So --  yes he's going to acknowledge their anniversary,regardless of whether president obama is reelected or not his wife will still be there so yes he's going to acknowledge their anniversary,21.583977
327,THERE IS SUCH A DISCONNECT BETWEEN MITT ROMNEY AND THE HUMAN RACE...SMH,there is such a disconnect between mitt romney and the human racesmh,1.06558
328,Mitt Romney's flag lapel is bigger than Obama's. What a political statement.,mitt romney's flag lapel is bigger than obama's what a political statement,18.411793000000003
332,#DNC2012 revealed that Obama's greatest asset is his wife --  Michele. I'm sure he's going to mention her 5-6 more times tonight. #debates,#dnc2012 revealed that obama's greatest asset is his wife michele i'm sure he's going to mention her more times tonight #debates,30.085640000000005
334,Who else is watching the presidential debates? Mitt Romney OWNED the first question lol.,who else is watching the presidential debates mitt romney owned the first question lol,22.286016000000004
335,RT @LatinosforObama :Corre la voz --  Mitt Romney is the wrong choice for our community. #ForwardNotBack http://t.co/CJYMb95s,corre la voz mitt romney is the wrong choice for our community #forwardnotback,7.605157999999999
337,I think the next two debates are being held on Mitt Romney's anniversaries with two of his wives.,i think the next two debates are being held on mitt romney's anniversaries with two of his wives,12.981224
339,Sometimes --  the best politics is to thank a spouse on an anniversary --  before getting into the boxing ring for a debate #obama,sometimes the best politics is to thank a spouse on an anniversary before getting into the boxing ring for a debate #obama,20.646911
340,Fox News actually predicted this morning that Romney would wear a red tie tonight #debates,fox news actually predicted this morning that romney would wear a red tie tonight #debates,25.720906999999997
344,Apparently --  Mittens never took AP US History. A big government that regulates and taxes is NOT trickle-down. #mess #debates #tackyredtie,apparently mittens never took ap us history a big government that regulates and taxes is not trickledown #mess #debates #tackyredtie,27.057898999999995
347,Weeding?RT @ItsSkipNotCaleb: HAPPY WEEDING ANNIVERSARY TO MY GOD FATHER PRESIDENT BARACK OBAMA AND MY HIS BEAUTIFUL WIFE,weedingrt happy weeding anniversary to my god father president barack obama and my his beautiful wife,26.821528000000004
348,#QU students --  will you be watching tonight's presidential debate? I know @TJCoolass will be! #BeInformed #Election2012,#qu students will you be watching tonight's presidential debate i know will be #beinformed #election2012,20.321782
351,lol --  i keep pointing to the  tv saying thats my nigga man ! #obama,lol i keep pointing to the tv saying thats my nigga man #obama,16.935538
353,Obama's solution to the economy is spending more money on education?  WTF?  #DenverDebate,obama's solution to the economy is spending more money on education wtf #denverdebate,20.809758000000002
355,President Obama is a boss in this debate. His looks are going for blood.,president obama is a boss in this debate his looks are going for blood,17.768110000000004
359,Obama used Ethos a form of rhetoric used to connect with the audience on an emotional level. #PresidentialDebate,obama used ethos a form of rhetoric used to connect with the audience on an emotional level #presidentialdebate,10.973844
363,Thank - you says Mitt --  waiting on applause that rules mean will never come. First mini-gaffe? #debates,thank you says mitt waiting on applause that rules mean will never come first minigaffe #debates,23.65802
364,#debates I'm sure this is the most romantic place you could be ... with me #Romney,#debates i'm sure this is the most romantic place you could be with me #romney,15.482382999999999
365,Geez rough start Obama #debates ... Not celebrating in front of 40 million people #whining #personallife,geez rough start obama #debates not celebrating in front of million people #whining #personallife,19.073130999999997
366,Mitt Romney just called out Obama on Trickle Down Government. Love it!!!,mitt romney just called out obama on trickle down government love it,13.501831000000001
369,Obama continues what he's done for 4 years on the FIRST question: avoid it and change the focus to the past. #RomneyRyan2012,obama continues what he's done for years on the first question avoid it and change the focus to the past #romneyryan2012,19.484646
370,What do they whisper to each other hen they shake hands?!?! #teamobama,what do they whisper to each other hen they shake hands #teamobama,6.842418
371,What does biofuel have to do with trickle down economics? #Debates: What does biofuel have to do with trickle do... http://t.co/jMn62yRF,what does biofuel have to do with trickle down economics #debates what does biofuel have to do with trickle do,12.04708
372,Someone tell me about Mitt Romney.  He gets lots of hate so I'm wondering soo.,someone tell me about mitt romney he gets lots of hate so i'm wondering soo,7.624530999999999
381,A woman came up to me with a baby in her arms. I tried not to look directly at it. - mitt romney,a woman came up to me with a baby in her arms i tried not to look directly at it mitt romney,9.625135
383,Trickle down government won't work? Mitt just ran away from the policy that underlies his economics. Head spinning. #debates,trickle down government won't work mitt just ran away from the policy that underlies his economics head spinning #debates,24.073123
384,These Presidential Debates need to be aired like the Hunger Games. #Debate2012 #decision2012,these presidential debates need to be aired like the hunger games #debate2012 #decision2012,20.27034
386,Happy 20th anniversary Barack & Michelle!!! I love how he told her happy anniversary before he even began his speech !! #PresidentialDebate,happy 20th anniversary barack michelle i love how he told her happy anniversary before he even began his speech #presidentialdebate,42.889088
388,Lehrer: Mr. President --  please respond directly to Romney's remark about trickle down govt. Obama just repeats his first answer. #Debate,lehrer mr president please respond directly to romney's remark about trickle down govt obama just repeats his first answer #debate,35.564483
