DocId,ProcessedTweet,OriginalTweet
67,#fnrdebate #jobs #mittromney knows how to save business will restore the vitality to get america running on right path again,#FNRDebate #Jobs #MittRomney knows how to save business --  will restore the vitality to get America running on right path again
69,#ndaaruling #denverdebate y u should be outraged about the ruling to keep #ndaa indefinite detention clause in effectt,#NDAAruling - #DenverDebate Y u Should Be Outraged About The Ruling To Keep #NDAA Indefinite Detention Clause In Effectt...
71,retweet if u watching the debate and ready to watch #obama2012 kick ass,RT @DjQuestStupid: Retweet if u watching the debate and ready to watch #obama2012 kick ass!!!!
73,lol meanwhile president obama looks young and fresh and smoove in the face,lol @EmElleWriter: Meanwhile.. President Obama looks young and fresh and smoove in the face..
74,#obama #presidentialdebate let's get it watch obama eat mitt lmsrt if your watching,#OBAMA #PRESIDENTIALDEBATE LET'S GET IT!! WATCH OBAMA EAT MITT!! LMS/RT IF YOUR WATCHING!!
75,in my complex all i see is romney bumper stickers these rich ppl stay giving me the side eye,In my complex all I see is Romney bumper stickers. These rich ppl stay giving me the side eye
76,romney looks scared to death same look seamus had on the car #debates,Romney looks scared to death. Same look Seamus had on the car!! #debates
79,all these people keep talking about obama romney i say throw them both out of the election have be president smart man,All these people keep talking about Obama& Romney --  I say throw them both out of the election &have @realDonaldTrump be president --  smart man.
83,i don't even fuck with politics but fuck a mitt romney he's a selfish narrow headed arrogant bastard,I don't even fuck with politics but fuck a Mitt Romney. he's a selfish narrow headed arrogant bastard
86,mitt trying told hold back his laughter at obama talkin like a retard #romneyryan2012,Mitt trying told hold back his laughter at Obama talkin like a retard #RomneyRyan2012
87,i can be a republican at times when it comes to sale items but i don't trust #mitt's ass,I can be a republican at times when it comes to sale items but I don't trust #mitt's ass
88,mitt romney seriously looks like the mayor of whoville it can't be unseen,Mitt Romney seriously looks like the mayor of whoville it can't be unseen
89,watching the debate with my daddy he is so smart after answers he is explaining it all to me maybe my dad should run #election2012,Watching the debate with my daddy. He is so smart! After answers --  he is explaining it all to me. Maybe my dad should run? (; #election2012
90,lol idk i know i know nothing about politics i just don't want another president besides obama i like him,Lol idk I know I know nothing about politics I just don't want another president besides Obama I like him.
91,way to disengage silly americans who decide not to watch debates #debates,Way to disengage. Silly Americans who decide not to watch debates. #debates
92,the govt doesn't need to put more money and focus into education we need to put more effort into raising our kids #presidentialdebate,The govt doesn't need to put more money and focus into education. WE need to put more effort into raising our kids. #PresidentialDebate
94,doesn't take much he makes his self look stupid rt obama bout to make mitt romney look stupid lol,RT @Misstrophy1987: Doesn't take much he makes his self look stupid!!!! RT @TreyLongz Obama bout to make mitt Romney look stupid<- LOL
95,obamas campaiqn sloqan should be once you go black you can never go back #teamobama ctfuu,Obamas Campaiqn Sloqan Should Be  Once You Go Black  --  You Can NEVER Go Back  #TeamObama . (: Ctfuu .
96,presidential candidate mitt romney takes the stage for his two minutes #election #vote,Presidential candidate Mitt Romney takes the stage for his two minutes. #election #vote
97,mitt romney is so sleazy how can anyone believe what comes out of his mouth #presidentialdebate,Mitt Romney is so sleazy. How can anyone believe what comes out of his mouth? #presidentialdebate
99,obama is doing exactly what gore did with he and i agree which means romney is driving the points even early #denverdebate,Obama is doing exactly what Gore did with he and I agree .. which means ROMNEY IS DRIVING THE POINTS EVEN EARLY #denverdebate
101,stop debating things that don't matter tune into the real debate #presidentialdebate,Stop debating things that don't matter. Tune into the real debate. #presidentialdebate
102,me rt watching #presidentialdebate with fam and good friends who else is watching,me! RT @WilHeuser: Watching #PresidentialDebate with fam and good friends.. Who else is watching?
103,i've been a journalist for too long the answer straight on shots freak me out #debates #election2012,I've been a journalist for too long --  the answer straight on shots freak me out. #debates #election2012
105,mitt romney needs to stop with all that fake laughing and take his ass to shady oak's retirement home,Mitt Romney needs to stop with all that fake laughing and take his ass to Shady Oak's Retirement Home.
108,million more people are on food stamps now since obama has been president,RT @Chrisk404: 5 million more people are on food stamps now since Obama has been president.
110,president obama is thinkin right nowi should be at da white house fuckin my wife right now but i gotta look at dis pasty white bastard,President Obama is thinkin right now...I should be at da White House fuckin my wife right now but i gotta look at dis pasty white bastard
115,how bad is it when i watch the #denverdebate i can visualize a #snl skit lol,How bad is it when I watch the #denverdebate I can visualize a #snl skit? Lol
117,idk i really don't think you can make america energy independent by not wanting to invest in solarwind mittens #presidentialdebate,IDK --  I really don't think you can make America energy independent by not wanting to invest in solar/wind --  Mittens. #presidentialdebate
118,romney stfu when you in the presence of a real nigga #obama,Romney STFU when you in the presence of a real nigga #OBAMA
119,#romney says he's concerned that the path we are on has not been successful #patchpolitics,#Romney says he's concerned that the path we are on has not been successful. #PatchPolitics
123,people expect obama to clean up the worst economy america has seen since the great depression in one term stop it #obama2012,People expect Obama to clean up the worst economy America has seen since  The Great Depression in one term --  stop it. #Obama2012
126,i can't even deal with looking at mitt romney's face he shouldn't look into the camera,I can't even deal with looking at Mitt Romney's face. He shouldn't look into the camera.
127,is mitt romney dumb as hell lol cutting small business will take away a bunch of people's jobs,Is Mitt Romney dumb as hell? Lol cutting small business will take away A BUNCH of people's jobs
128,my followers are about to see a ton of ranting tweets about how much i hate romney #prepareyourselves #sorry #obama2012,my followers are about to see a ton of ranting tweets about how much i hate romney. #prepareyourselves #sorry #Obama2012
129,i don't care what anyone says obama is going to be president again,RT @xx_Harris: I don't care what anyone says OBAMA is going to be  PRESIDENT again
130,presidential debate starting the morning with some proper education and entertainment #debate #elections #obama #romney,Presidential debate!!! Starting the morning with some proper education and entertainment #debate #elections #obama #romney
132,mitt romney don't pay no tax mitt romney don't pay no tax,Mitt Romney don't pay no tax --  Mitt Romney don't pay no tax!
135,anybody notice that obama has a team #teamobama and romney is just #romney2012 dis nigga lame lol,Anybody notice that Obama has a team #TeamObama and Romney is just #Romney2012 <-- dis nigga lame lol
136,minutes into the #debates and the potus has already hijacked the term topdown from hostile takeover #tcot,2 minutes into the #debates and the POTUS has already hijacked the term top-down from Hostile Takeover! #tcot
139,i like how prez obama is blowing shit up america's ass #unforgiveable #romney,I like how prez obama is blowing shit up America's ass #unforgiveable #Romney 2012
141,i know he's kind of socially retarded and weird but he's my friend #romney,I know he's kind of socially retarded and weird but he's my friend. #romney
144,mitt romney is a dumb ass dude all college students need to vote for obama if u want the tuitions to go down,Mitt Romney is a dumb ass dude!! All college students need to vote for Obama if u want the tuitions to go down.
146,i never realized how accurate snl's presidential imitators actors are they have obama and romney down #snl #presidentialdebate,I never realized how accurate SNL's presidential imitators (actors) are! They have Obama and Romney down! #SNL #PresidentialDebate
150,someone should advise those with romney stickers on their cars of the safety risk they might get hitby me it was so tempting #obama,Someone should advise those with Romney stickers on their cars of the safety risk. They might get hit....by me... It was so tempting #obama
151,until now i had no idea what mitt romney even looked like i don't watch politics i watch my bank account,Until now I had no idea what mitt Romney even looked like. I don't watch politics ... I watch my bank account.
152,mitt romney is full of shit eyeballs are brown from it,@FunkyDineva: Mitt Romney is full of shit eyeballs are brown from it!
153,mitt romney says he has a plan but all he has ever done is downsize and ship jobs overseas #mittnotfit,Mitt Romney says he has a plan but all he has ever done is downsize and ship jobs overseas #MittNotFit
155,i just laughed my ass off when romney said number so i probably shouldn't be allowed to watch these #debates,I just laughed my ass off when Romney said number 2 so I probably shouldn't be allowed to watch these #debates.
158,#obama doesnt want to talk about what he's done how about what he wants to do sans,#Obama doesnt want to talk about what he's done --  how about what he wants to do sans 2008...?
159,romney i know what it takes to get small business going again to hire people #denverdebate,Romney: I know what it takes to get small business going again. To hire people. #DenverDebate
163,mitt romney better not say shit about blacks i might just have to start a riot,Mitt Romney better not say shit about blacks ... I might just have to start a riot ..
165,listing the agreements making it seem like there is fewer differences between them #debates,Listing the agreements --  making it seem like there is fewer differences between them. #debates
166,this motherfucker on my timeline is middle school talking about #obama bitch goodmotherfuckingbye you cant vote for an,RT @Mrs_Hendrix_: THIS MOTHERFUCKER ON MY TIMELINE IS MIDDLE SCHOOL TALKING ABOUT #OBAMA BITCH GOODMOTHERFUCKINGBYE YOU CANT VOTE FOR AN ...
168,affordable and drexel two words that are never in the same sentence try again obama #presidentialdebate,Affordable and Drexel.. Two words that are never in the same sentence. TRY AGAIN OBAMA. #PresidentialDebate
169,fuck mitt romney i'm middle class tryna make it and you tryna take it tf,Fuck Mitt Romney i'm middle class tryna make it .... and you tryna take it? Tf
170,president obama is about to destroy this margrttttt he's a boss,@SwagAir: President Obama is about to destroy this margRTTTTT!! He's a boss
171,lehrer looks like he gets a boner every time he asks them a question #denverdebate,Lehrer looks like he gets a boner every time he asks them a question. #DenverDebate
175,obama speaking eyes glazing over some many words so little substance #denverdebate #saveamerica2012,Obama speaking --  eyes glazing over - some many words --  so little substance #denverdebate #saveAmerica2012
176,watching the debate now lets goooooo mitt romney and i'd kill to be with now bantering and going wild,Watching the debate now lets goooooo Mitt Romney!!!!!! And I'd kill to be with @aromeo33 now bantering and going wild
177,my dads reaction to mitt romney on the debate is so funny i can't even,My dads reaction to Mitt Romney on the debate is so funny I can't even.
178,mitt romney don't pay no tax mitt romney don't make no tax,Mitt Romney don't pay no tax ! Mitt Romney don't make no tax !
179,mitt romney is smirking at obama like he smirked after that piss poor speech he gave right after libya #denverdebate,Mitt Romney is smirking at Obama like he smirked after that piss poor speech he gave right after Libya. #DenverDebate
183,mitt romney shut up obama is obvi more fab than you,Mitt Romney shut up. Obama is obvi more fab than you
184,make more investments in solar puhleeze you mean #obama has more campaign contributors in that industry that can hose taxpayers #debates,Make more investments in solar? Puhleeze. You mean #Obama has more campaign contributors in that industry that can hose taxpayers? #debates
185,watching the debate with the most important political tools ever a bottle of maker's mark and a rowdy dude #debates,Watching the debate with the most important political tools ever --  a bottle of Maker's Mark and a rowdy dude. #debates
187,first crucial observation obama's suit looks a bit big is he taking tips from paul ryan #debates,First crucial observation: Obama's suit looks a bit big. Is he taking tips from Paul Ryan? #debates
188,obama is a great speaker but i don't believe a word he says #presidentialdebate #teamromney,Obama is a great speaker --  but I don't believe a word he says. #PresidentialDebate #TeamRomney
190,have a huge crush on mitt romney and i'm not sorry,Have a huge crush on Mitt Romney and I'm not sorry
191,we tried investing in alternative energy how has that worked out for us #debates,we tried investing in alternative energy --  how has that worked out for us #debates
195,oh boy this is going to be boring vs boring where's dubya when you need him #debates,Oh boy --  this is going to be Boring vs Boring.  Where's Dubya when you need him?  #debates
197,that's more then two minutes lol i'm such a hated of mitt romney,That's more then two minutes lol I'm such a hated of Mitt Romney
198,after all the debate mitt romney and i just gonna go to mexico and ball out,After all the debate Mitt Romney and I just gonna go to Mexico and ball out.
199,i'm gonna watch this presidential debate if you like mitt romney i suggest you fuck off obama is gonna kill his ass,I'm gonna watch this presidential debate. If you like Mitt Romney I suggest you fuck off. Obama is gonna kill his ass.
200,i imagine someone behind mitt romney pushing a play and stop button whenever he's asked a question #debates,I imagine someone behind Mitt Romney pushing a 'Play' and 'Stop' button whenever he's asked a question. #Debates
201,obama could be president for tha rest of my lifeid be coo wit that,Obama Could Be President For Tha Rest Of My Life...Id Be Coo Wit That
204,can we stop threatening violence crack down on china if they cheat #debate #debates,Can we stop threatening violence?? crack down on China if they cheat? #debate #debates
206,but will mitt romney explain his connection to hans gruber and the events at nakatomi tower,But will Mitt Romney explain his connection to Hans Gruber and the events at Nakatomi Tower?
207,romney ya say one thing and right now your saying another dear mitt get your shit together,Romney ya say one thing and right now your saying another dear Mitt get your shit together
208,longer than years to fix it ok i don't want fucking mitt romney to mess this economy up even more then like everyone could die,<longer than 4 years to fix it ok. I don't want fucking Mitt Romney to mess this economy up even more --  then like everyone could die.
209,if mitt romney becomes potus will he still be the leader of the fantastic four #mockthevote #debate,If Mitt Romney becomes POTUS --  will he still be the leader of the Fantastic Four? #mockthevote #debate
210,take the gloves off mitt go for the jugular no playing nice get in the mud with this scoundrel #debate2012 #denverdebate,Take the gloves off Mitt --  go for the jugular --  no playing nice. Get in the mud with this scoundrel #Debate2012 #denverdebate
211,romney i know what it takes to get small business growing again #denverdebate,Romney: I know what it takes to get small business growing again #DenverDebate
213,i'm in on the #presidentialdebate drinking game every time i hear a lie i'm taking a shot someone might wanna start funeral arrangements,I'm in on the #PresidentialDebate drinking game. Every time I hear a lie I'm taking a shot. Someone might wanna start funeral arrangements
214,romney has a serious cold tonight his nose is red and his voice sounds scratchy #debates,Romney has a serious cold tonight. His nose is red and his voice sounds scratchy. #debates
215,mitt's answer was more detailed however it was extremely unrealistic completely #debates,Mitt's answer was more detailed --  however --  it was extremely unrealistic --  completely. #Debates
216,wait so obamacare isnt president obama himself feeding me hot soup,Wait so Obamacare isnt President Obama himself feeding me hot soup?
217,housing has begun to rise i've got a short sale and a foreclosure on my block #debate #denverdebate,Housing has begun to rise?  I've got a short sale and a foreclosure on my block. #debate #denverdebate
219,#romney's ideas ain't all bad surprisingly a little lefty however they sound stupidly expensive ironic when you want to cut spending,#Romney's ideas ain't all bad --  surprisingly a little lefty --  however they sound stupidly expensive --  ironic when you want to cut spending
222,i don't like romney or obama so i pick myself for president the world needs someone like me in office,I don't like Romney or Obama  --  so I pick myself for president. The world needs someone like me in office
223,black really don't crack mitt romney got that mccain neck going for him,Black really don't crack --  mitt Romney got that mcCain neck going for him.
224,according to the supposed #presidentialdebate drinking game i'd be drunk right now just from obama's introduction,according to the supposed #presidentialdebate drinking game... I'd be drunk right now just from Obama's introduction.
225,the president says he wants more energy in america yet his agencies are halting new energy production #debates,The president says he wants more energy in America yet his agencies are halting new energy production. #debates
232,mitt romney's face when obama is talking just looks like he's constantly thinking black people are so cute,Mitt Romney's face when Obama is talking just looks like he's constantly thinking black people are so cute
233,as a determined independent i'm looking forward to the tonight's debate #debates,As a determined Independent --  I'm looking forward to the tonight's debate. #debates
235,obama talks about spending more on solar after failing twice already he still wants to pump american into solar #debates,Obama talks about spending more on solar.  After failing twice already he still wants to pump American $ into solar! #debates
236,here comes #romney with his itty bitty steps annoys me to no end body language counts,RT @SteveAyscue: Here comes #Romney with his itty bitty steps... Annoys me to no end. Body language counts.
238,#debates this is the same thing said years ago when is it going to happen,#debates this is the same thing @BarackObama said 4 years ago WHEN is it going to happen????
239,or mitt romney wants more guns and bigger military ya boy second amendment,Or mitt romney wants more guns and bigger military ya boy second amendment
240,can president obama just become president again so this election can be over already i'm tired of seeing ads,Can President Obama just become president again so this election can be over already. I'm tired of seeing ads.
241,barack you are the topdown guy you think govt should drive the economy #debates,Barack --  you are the top-down guy. You think govt should drive the economy. #debates
243,#presidentialdebate fuck you being on like every channel no one in canada cares,#PresidentialDebate fuck you being on like every channel! No one in Canada cares!!
244,this used to bore me it still kinda does but potus highly interest me lol #debate2012#obama2012,this used to bore me. It still kinda does --  but POTUS highly interest me Lol #Debate2012#Obama2012
245,showing tweets about the debate during the debate is annoying how else am i supposed to see what romney is doing with his hands #debates,Showing tweets about the debate during the debate is annoying! How else am I supposed to see what Romney is doing with his hands! #debates
247,q1 what are the major differences between the two of you on job creation obama goes first #debates,@HuffPostPol: Q1: What are the major differences between the two of you on job creation? Obama goes first http://t.co/ZQYjiSWy #debates
251,ok that's it for fb posts on this follow me on twitter if you want more i'm silly thanks #debates,Ok.  That's it for FB posts on this.  Follow me on Twitter if you want more.  I'm silly... Thanks. @MikeLivingston #debates
252,how rt like it or not mitt romney sound real good right now,How???  RT @THEPOLOSCOTT: Like it or not.... Mitt Romney sound real good right now....
255,mitt romney wants to cuck barack obama alec baldwin just pulled a spider off his diorama #beetlejuicedebate,Mitt Romney wants to cuck Barack Obama. Alec Baldwin just pulled a spider off his diorama. #BeetlejuiceDebate
256,the former polysci major side of me is psyched for this debate #presidentialdebate,The former polysci major side of me is psyched for this debate. #Presidentialdebate
257,look at those palm down gestures of obama excellent much more credible he's doing better as he warms up #obama #debate #denver,Look at those palm down gestures of Obama. Excellent. Much more credible.  He's doing better as he warms up. #obama #debate #denver
260,mitt romeny four years for you mitt romeny you go mitt romney #presidentialdebate #nationalmeangirlsday #imaloser,Mitt Romeny? Four years for you Mitt Romeny! You go Mitt Romney! #PresidentialDebate #NationalMeanGirlsDay #imaloser
261,ouch truth hurts america not place to be starting up small business #debate2012 #gop2012 #romneyryan2012,Ouch --  truth hurts America not place to be starting up small business  #Debate2012 #GOP2012 #RomneyRyan2012
262,i'd just like to mention the immense swag president obama had when he walked out on stage,I'd just like to mention the immense swag President Obama had when he walked out on stage.
265,i like him but i need him to stop the pda when h should in fact be whoopin ass #debates,I like him but I need him to stop the PDA when h should in fact be whoopin ass. #Debates
268,i bet mitt romney has a whole bunch of ralph lauren,I bet Mitt Romney has a whole bunch of Ralph Lauren.
269,everyone tune in to the debate at and watch mitt romney probably kill his chances at being president should be good,RT @seand0H: everyone tune in to the debate at 9 and watch mitt romney probably kill his chances at being president! should be good
271,#romney our economic plans are as different as black and white ah shit #,#romney : Our economic plans are as different as black and white. Ah shit. #
272,obama is actually breathing better watch your own breathing it's much calmer when listening to obama yes #debate #denver #obama,Obama is actually breathing better. Watch your own breathing. It's much calmer when listening to Obama --  yes? #debate #denver #obama
273,i think my mom is already sleeping and the #debates just started she's not interested,I think my mom is already sleeping and the #debates just started. she's not interested
274,mtv hosts live twitter fact check during debate all eyes will be on barack obama and mitt romney du #socialpr,MTV Hosts Live Twitter Fact Check During Debate:   All eyes will be on Barack Obama and Mitt Romney du... http://t.co/qbUJOycJ #SocialPR
275,no mittenswe don't not want to double down on trickle down it doesn't work #teamobama #vote2012 #forward #debates,no Mittens...we don't not want to double down on trickle down. it doesn't work. #teamobama #vote2012 #forward #debates
281,mitt romney is such a fucking jooooooke get off my screen bitch,Mitt Romney is such a fucking jooooooke. Get off my screen bitch!
282,i love the fact romney is laughing at obama the whole time maybe finally he will figure out everything he says is a joke #romneyryan2012,I love the fact Romney is laughing at Obama the whole time! Maybe finally he will figure out everything he says is a joke. #RomneyRyan2012
283,i wish i was there to smack that smirk off mitt romney's face,I wish I was there to smack that smirk off Mitt Romney's face
284,which candidate do u think china would like to see win rt presidential debate live at,RT @MiaJHU: Which candidate do u think China would like to see win? @hopkinsIS RT: presidential debate live at 9pm @Nolanson33rd @JHUFAS ...
286,what's there not to love about a powerful intelligent man who starts with a his woman b an ice breaking joke #obama,What's there not to love about a POWERFUL INTELLIGENT man who starts with a) his woman & b) an ice breaking joke. #Obama
287,the look on #romney face while #obama talks damn this na is really calling me out on my bs,*The look on #Romney face while #Obama talks ...Damn this n@**a is really calling me out on my BS!
288,how pay for without dumping costs on middleclass americans is central question #obama #debate,How pay for without dumping costs on middle-class Americans is central question. #Obama #debate
291,i imagine watching romney and obama debate was like watching nixon and jfk #debates,I imagine watching Romney and Obama debate was like watching Nixon and JFK. #Debates
293,let's be real for a sec obama is the most fucking handsome president the us has had,Let's be real for a sec... Obama is the most fucking handsome president the U.S has had.
295,the auto industry has come roaring back and housing has begun to risepresident obama #forwardnotback,The auto industry has come roaring back --  and housing has begun to rise.President Obama #ForwardNotBack
296,i don't understand why we vote for people out of billions to be president my trust is in god not obama nor romney,I don't understand why we vote for 2 people out of billions to be president. MY trust is in God. Not Obama nor Romney.
297,trying to watch the debate on my xbox and holy shit mitt romney just killed like four guys no wait this is dishonored nvm,RT @jasonschreier: Trying to watch the debate on my xbox and holy shit mitt romney just killed like four guys no wait this is dishonored nvm
299,can you help me mitt yes but not with my money #presidentialdebate,Can you help me Mitt? Yes --  but not with my money #PresidentialDebate
301,tax cuts for manufacturing not sure if the majority of those business count as small business #presidentialdebate,Tax cuts for manufacturing... Not sure if the majority of those business count as small business #PresidentialDebate
302,#obama says the question for this debate is not where we have been so let's see how many times he blames his predecessor #debates,#Obama says the question for this debate is not where we have been. So let's see how many times he blames his predecessor. #debates
303,i just wanna smack that stupid smirk right off mitt romney's face,i just wanna smack that stupid smirk right off mitt romney's face...
305,i'm waiting for mitt to say you lazy bitches is fucking up the economy #presidentialdebate,I'm waiting for Mitt to say you lazy bitches is fucking up the economy #PresidentialDebate
307,mitt romney wants you to know he'll do something different than create million jobs,@LOLGOP: Mitt Romney wants you to know he'll do something different than create 5 million jobs.
308,romney small business creates the jobs in america indeed big business just takes those jobs to china #debates,Romney: Small business creates the jobs in America. Indeed. Big business just takes those jobs to China. #Debates
310,#romney claims we need energy independance but under obama we've become more energy independant than we've ever been #debate2012,#Romney claims we need Energy Independance --  but under Obama we've become more Energy Independant than we've Ever Been #Debate2012
311,new business at a year low i know how to get sm business going again bigger government not the answer #romneyryan2012#debate,New business at a 30 year low --  I know how to get sm business going again --  bigger government not the answer #romneyryan2012..#debate
315,so these two are pretty much selling america bullshit tonight they're just trying to see who delivers it more eloquently #debates,So --  these two are pretty much selling America bullshit tonight... They're just trying to see who delivers it more eloquently.  #Debates
319,you know they just said something like bitch you're going down #presidentialdebate,You know they just said something like --  bitch you're going down. #PresidentialDebate
320,good god mitt romney sounds so intelligent next to obama then again so would an orangutan #romney2012 #presidentialdebate,Good God Mitt Romney sounds so intelligent next to Obama.. Then again so would an orangutan #Romney2012 #PresidentialDebate
321,you know what will be real fucked up if obama doesn't win even after we have all these #teamobama supporters #thestruggle,You know what will be real fucked up ? If Obama doesn't win even after we have all these #TeamObama supporters.. #TheStruggle
322,obama vs romney on basketball game to win by for president #letsdoit,RT @ASAPLyons: Obama vs. Romney. 1 on 1 basketball game to 21 --  win by 2. For president... #letsdoit
325,mitt romney knows no one came up to him asking for help #lies #sobstories #debates right who is this woman lol smh,@4RealForeal: Mitt Romney knows no one came up to him asking for help.... #lies #sobstories #debates right who is this woman lol smh
329,i dont believe anything that comes out of mitt romney mouth,i dont BELIEVE anything that comes out of MITT ROMNEY mouth!
330,mitt romney's face can only be described as a shit eating grin #debate,Mitt Romney's face can only be described as a shit eating grin #debate
331,anyone else notice how mitt romney's resting face is a condescending smile #presidentialdebate,Anyone else notice how Mitt Romney's resting face is a condescending smile? #PresidentialDebate
333,watching the #presidentialdebate it's my homework i almost took my ass to sleep,Watching the #PresidentialDebate it's my homework &&' I almost took my ass to sleep
336,he looks like he believes his own damn lies i can't #obama2012,He looks like he believes his own damn lies . I can't . #Obama2012
338,obama invest in education small businesses wind down wars and use that money to invest in infrastructure #debates via,Obama: invest in education --  small businesses. Wind down wars and use that money to invest in infrastructure. #debates (via @arbiteronline )
341,i see romneys mouth moving but all i hear is bullshit #debates,I see Romneys mouth moving but all i hear is bullshit #debates
342,all i know is i don't want mitt romney to win,All I know is I don't want Mitt Romney to win
343,watching the presidential debate #teamobama romney about to say some stupid shit lol,Watching the presidential debate.. #TeamObama.. Romney about to say some stupid shit.. lol
345,mitt romney has that look on his face that you know you cant trust him,Mitt Romney has that look on his face that you know you cant trust him
