text,retweetCount,tweet_id,MONTH,DAY,HOUR,MINUTE,isRetweeted,enteredAsRetweet,retweet_id,created_at
 “@CapehartJ: Romney: I know what it takes to get small biz going again. #Debates” <~~ hmmmmmm? ,0,253663277303877633,10,04,10,10,0,0,0,2012-10-04 10:10:12
 The dude on Key & Peele sound just like president Obama! Haha ,0,253662298739187712,10,04,10,06,1,0,253662122708459520,2012-10-04 10:06:19
 Obama starts off debate by wishing Michelle a happy wedding anniversary. #debates ,0,253662353869135873,10,04,10,06,1,0,253662089263075329,2012-10-04 10:06:32
 #obama #FoxNews #CNNDebate ,0,253663033572855808,10,04,10,09,0,0,0,2012-10-04 10:09:14
 Mitt Romney <<<< ,1,253662787363020801,10,04,10,08,0,1,0,2012-10-04 10:08:15
 I'll just go for Obama because Mitt Romney is a racist motherfucker but i really don't care who's president --  lol. ,0,253662826592346114,10,04,10,08,0,0,0,2012-10-04 10:08:25
 This the longest 2 mins ever #presidentialdebate ,0,253662316523044864,10,04,10,06,0,0,0,2012-10-04 10:06:23
 Watching the debate even tho I honestly dnt care --  I already know who im voting for !! #TeamOBAMA ,0,253662463432740866,10,04,10,06,0,0,0,2012-10-04 10:06:58
 Omg Obama you're legit saying what I just said in my where I stand essay please be president for ever ,0,253662514108329984,10,04,10,07,0,0,0,2012-10-04 10:07:10
 4 more years! #obama2012 ,0,253662651920556032,10,04,10,07,0,0,0,2012-10-04 10:07:43
 Best wishes on your anniversary from the planet kolub.  #debates ,0,253662744396574721,10,04,10,08,0,0,0,2012-10-04 10:08:05
 RT @Kay_Carter: #Obama2012 RETWEET!!! The time is now!!! ,14,253663359981977600,10,04,10,10,1,0,253660617418866688,2012-10-04 10:10:32
 First #PresidentialDebate  Usually I hate politics but Im interested.  #Obama or #Romney ? ,0,253662803276201984,10,04,10,08,0,0,0,2012-10-04 10:08:19
 Obama's rambling #DenverDebate ,1,253663514693091328,10,04,10,11,0,1,0,2012-10-04 10:11:09
 Prez stress RT @piersmorgan: HAIR ZING! President Obama looks marginally greyer than Governor Romney --  despite being 14yrs younger #PMTdebate ,0,253663474364862465,10,04,10,10,0,0,0,2012-10-04 10:10:59
 Obama for president!!!! ,0,253662564058267648,10,04,10,07,0,0,0,2012-10-04 10:07:22
 #TEAMOBAMA #TEAMOBAMA #TEAMOBAMA #TEAMOBAMA #TEAMOBAMA #TEAMOBAMA #TEAMOBAMA #TEAMOBAMA  http://t.co/3PJTb5a0 ,0,253662354028515328,10,04,10,06,0,0,0,2012-10-04 10:06:32
 My mother watchin the debate right now. #Obama2012 ,0,253663633245106176,10,04,10,11,0,0,0,2012-10-04 10:11:37
 Mitt Romney can't even look this man in the eye....stop looking down at your notes --  punk. ,0,253662346063532032,10,04,10,06,0,0,0,2012-10-04 10:06:30
 Mitt Romney 65 though? ,0,253662349733548032,10,04,10,06,0,0,0,2012-10-04 10:06:31
 Debate time #obama ! ,0,253663675804680192,10,04,10,11,0,0,0,2012-10-04 10:11:47
 Watching the 2012 Presidential Debate!!!! Let it Begin!! #Republican ,0,253662753020055552,10,04,10,08,0,0,0,2012-10-04 10:08:07
 RT @FratBoysComedy: Mitt Romney is getting ready for the #debate by sending dick pics to himself. ,34,253663427199893505,10,04,10,10,1,0,253657890412449792,2012-10-04 10:10:48
 Yess Obama #TeamObama ,1,253662424236978176,10,04,10,06,0,1,0,2012-10-04 10:06:49
 Lmao Obama school this jigga boo please #Romney ,0,253663691986309121,10,04,10,11,0,0,0,2012-10-04 10:11:51
 Oh that was kinda funny #Romney. Aww that was kinda sweet #Obama. ,0,253662794669502464,10,04,10,08,0,0,0,2012-10-04 10:08:17
 President Barack Obama (D) and Mitt Romney (R) discuss domestic policy at the first presidential debate --  from the University of Denver. ,0,253662480646172672,10,04,10,07,0,0,0,2012-10-04 10:07:02
 For what Obama is saying --  it sounds fairly intelligent but I wanted an answer to the question #election2012 ,0,253663415367786496,10,04,10,10,0,0,0,2012-10-04 10:10:45
 I got kinda tickled when Romney mentioned the Presidents Anniversary like he really cares #Debates ,1,253663715507970049,10,04,10,11,0,1,0,2012-10-04 10:11:57
 #educating myself on who I'm #voting for. #teamobama #obama #presidential #debate @s_comm  http://t.co/oFu6LM7k ,0,253662530122174464,10,04,10,07,0,0,0,2012-10-04 10:07:14
 #Obama scores 1st lie. The auto industry in not "blazing back". GM is underwater again. #Debate2012 #wpro2012 ,3,253662288471543808,10,04,10,06,0,1,0,2012-10-04 10:06:17
 Obama has been president for nearly 20% of his marriage. Poor Michelle. ,0,253662680987082752,10,04,10,07,0,0,0,2012-10-04 10:07:50
 #PresidentialDebate ,0,253662303994658816,10,04,10,06,0,0,0,2012-10-04 10:06:20
 Ew I don't like Mitt Romney. One bit. ,0,253662526468931584,10,04,10,07,0,0,0,2012-10-04 10:07:13
 #obama for the win. ,0,253662522173964288,10,04,10,07,0,0,0,2012-10-04 10:07:12
 #TeamObama #TeamObama #TeamObama #TeamObama #TeamObama #TeamObama #TeamObama #TeamObama #TeamObama #TeamObama #TeamObama #TeamObama ,0,253662727267024897,10,04,10,08,0,0,0,2012-10-04 10:08:01
 I think Mitt Romney's last software update included basic humor.... ,0,253662738918817792,10,04,10,08,0,1,0,2012-10-04 10:08:04
 Wow --  Jay Pharoh is really on tonight!  @sethmeyers21 #Debates ,0,253662475403272193,10,04,10,07,0,0,0,2012-10-04 10:07:01
 And hes got jokes! #MittRomney ,0,253662656723050496,10,04,10,07,0,0,0,2012-10-04 10:07:44
 I'm bout to watch Mitt Romney get OWNED by Barack Obama. ,5,253662507447750656,10,04,10,07,0,1,0,2012-10-04 10:07:09
 Get it girl! #Obama2012 #PresidentialDebate ,0,253663617147351041,10,04,10,11,0,0,0,2012-10-04 10:11:33
 Presidential Debate 2012. #Romney ,7,253662730328883201,10,04,10,08,0,1,0,2012-10-04 10:08:02
 #MittRomney is so Presidential!!!!!!!!!!!! ,0,253662630953246720,10,04,10,07,0,0,0,2012-10-04 10:07:38
 .@MittRomney's awkward smirk when he's not speaking is going to get real uncomfortable real quick. #PresidentialDebate ,1,253663698210672640,10,04,10,11,0,1,0,2012-10-04 10:11:53
 The market testing meter is annoying. #debates. I'm a #citizen not a consumer. ,7,253663463795204097,10,04,10,10,0,1,0,2012-10-04 10:10:57
 That smirk that Romney always has on his face just irks me. He is NOT to be trusted! #Obama2012 ,0,253663696247746560,10,04,10,11,0,0,0,2012-10-04 10:11:52
 PRESIDENT Obama RT @BarackObama "The auto industry has come roaring back --  and housing has begun to rise."—President Obama ,0,253663596247134208,10,04,10,11,0,0,0,2012-10-04 10:11:28
 #Debates I don't know why I even bother to watch ,0,253663385776947201,10,04,10,10,0,0,0,2012-10-04 10:10:38
 Romney Ryan Romney Ryan #debate ,0,253662798423408640,10,04,10,08,0,0,0,2012-10-04 10:08:18
 Presidential #Debates  let's go Ya'll tune in ,1,253662536006766592,10,04,10,07,0,1,0,2012-10-04 10:07:16
 #TeamObama !! ,0,253662328342577152,10,04,10,06,0,0,0,2012-10-04 10:06:26
 'Merica. #ObamaBiden2012 #debates ,0,253662534517796864,10,04,10,07,0,0,0,2012-10-04 10:07:15
 "Can I help you?  I just fired you!"  Mitt Romney #Debates ,0,253662598858424320,10,04,10,07,0,1,0,2012-10-04 10:07:31
 If it wasn't for Obamacare --  I would of died in the hospital a year ago.  #Obama2012 ,0,253662639559962624,10,04,10,07,0,0,0,2012-10-04 10:07:40
 - #Obama2012 enough said ! ,1,253663606577692672,10,04,10,11,0,1,0,2012-10-04 10:11:31
 “@Tavietavie: Mitt Romney is a dick.” http://t.co/LlDwz8GA ,0,253663426746920961,10,04,10,10,0,0,0,2012-10-04 10:10:48
 Excuse me --  but president Obama some fine. ,0,253662308323172352,10,04,10,06,0,0,0,2012-10-04 10:06:21
 "i dont have a tax cut" YOU'RE SO FULL OF SHIT LMAO #debates ,0,253663650492067840,10,04,10,11,0,0,0,2012-10-04 10:11:41
 Mitt Romney does not have lips. ,0,253662483959644160,10,04,10,07,0,0,0,2012-10-04 10:07:03
 Obama wants fewer rich people --  Romney wants fewer poor people. #Debates ,0,253663642459963393,10,04,10,11,0,0,0,2012-10-04 10:11:39
 @secupp Mitt Romney: doesn't know why airplane windows don't open. ,0,253662715447492609,10,04,10,07,0,0,0,2012-10-04 10:07:58
 #debates Governor Romney does not seem happy to be at meeting number five ,0,253663427745161216,10,04,10,10,0,0,0,2012-10-04 10:10:48
 Happy Anniversary to President & First Lady Obama❤ ,0,253662630936465408,10,04,10,07,0,0,0,2012-10-04 10:07:38
 Good thing they color coordinated their ties so we wouldn't get confused about which candidate was which. #PresidentialDebate ,0,253662547369136129,10,04,10,07,0,0,0,2012-10-04 10:07:18
 Well yes. Obama: "Let me talk specifically about what I think we need do. First --  we’ve got to improve our education system. #DenverDebate ,0,253663599493517312,10,04,10,11,0,0,0,2012-10-04 10:11:29
 #Debates i like obama's approach betta tha mitten's.... ,0,253663411563540480,10,04,10,10,0,0,0,2012-10-04 10:10:44
 Mitt Romney .. ,0,253662539286708224,10,04,10,07,0,0,0,2012-10-04 10:07:16
 Yes keep tuition low Obama! #PresidentialDebate ,3,253663312921894914,10,04,10,10,0,1,0,2012-10-04 10:10:21
 if u only knew what was going on in the world u wouldn't want Obama as our president #RomneyRyan2012 bye twitter. ,0,253662975158800389,10,04,10,09,0,0,0,2012-10-04 10:09:00
 “@CassiieMeLinda: Watching the Presidential Debate! ,0,253663188808249346,10,04,10,09,0,0,0,2012-10-04 10:09:51
 @heysimplyg Mitt Romeny used President Obama's "yes we can slogan" ,1,253662922453184512,10,04,10,08,0,1,0,2012-10-04 10:08:48
 if u support mitt romney u r living ur life wrong ((i am canadian and i know that)) ,0,253662228400701440,10,04,10,06,0,0,0,2012-10-04 10:06:02
 "Trickle down"?  Lehrer's take --  not Romney's yellow flag #debates ,0,253663046126428161,10,04,10,09,0,0,0,2012-10-04 10:09:17
 Bruh... RT @Brvh_: RT @_CaptainJohnson: Mitt Romney looks like he works for the Umbrella Corporation. ,0,253663268957204482,10,04,10,10,0,0,0,2012-10-04 10:10:10
 Mitt trying to be on point. But are they the same points he will stand behind tomorrow. #debates ,2,253662906405777409,10,04,10,08,0,1,0,2012-10-04 10:08:44
 More teachers? We can barley pay for the ones now #PresidentialDebate ,0,253663205497376768,10,04,10,09,0,0,0,2012-10-04 10:09:55
 Yesssss! #Obama ,0,253662240220258304,10,04,10,06,1,0,253661917590212608,2012-10-04 10:06:05
 Happy 20th Obama's #debates ,0,253663029521178624,10,04,10,09,0,0,0,2012-10-04 10:09:13
 Romney's all like "0mg. I wi$h I had a k00l wif3. And L00k @ h0w h@wtt Obama iz!" #Obama2012 ,0,253662233169633280,10,04,10,06,0,0,0,2012-10-04 10:06:03
 it's unclear to me why Pres Obama believes the federal government should be in charge of hiring teachers #denverdebate ,9,253663373034663937,10,04,10,10,0,1,0,2012-10-04 10:10:35
 #InRoselle if you not #TeamObama you #TeamGetSlapped ,1,253662963930644480,10,04,10,08,0,1,0,2012-10-04 10:08:58
 #Obama getting specific.  Good move.  Wonder if #Romney can/will follow suit.  #denverdebate ,0,253663201726697472,10,04,10,09,0,0,0,2012-10-04 10:09:54
 #TEAMOBAMA ,1,253662248910860288,10,04,10,06,0,1,0,2012-10-04 10:06:07
 I don't give a shit what you people think. I care what the presidential candidates are saying. So shut up #debates ,0,253663348296658945,10,04,10,10,0,0,0,2012-10-04 10:10:29
 RT @ConcrndConsvMom: Oooo!  Specifics!  You GO @Romney!!!  #DenverDebate #PatchPolitics ,0,253662874310963202,10,04,10,08,0,0,0,2012-10-04 10:08:36
 If Mitt Romney wins --  the world might as well end in 2012. ,3,253662841373081600,10,04,10,08,0,1,0,2012-10-04 10:08:28
 Presidential Debate.! Tune in.! #Obama.! ,0,253663193119981568,10,04,10,09,0,0,0,2012-10-04 10:09:52
 MITT ROMNEY YOU LOOK --  SMELL AND SOUND LIKE A BUNCH OF BULLSHIT >.< I can smell you threw my TV --  ! ,0,253662962781409280,10,04,10,08,0,0,0,2012-10-04 10:08:57
 Yes --  but does Romney's plan have enough lady parts? #DenverDebate #PresidentLadyParts ,0,253662975108472832,10,04,10,09,0,0,0,2012-10-04 10:09:00
 Romney first to the floor with specifics #debates ,0,253662874277384192,10,04,10,08,0,0,0,2012-10-04 10:08:36
 "Cut taxes for the rich? THAT'S NOT WHAT I'M GONNA DO!" - Mitt Romney ,0,253663226548600832,10,04,10,10,0,0,0,2012-10-04 10:10:00
 I just feel so bad for Obama. He's hella nice but he's a bad president ,0,253662228790800384,10,04,10,06,0,0,0,2012-10-04 10:06:02
 If #Romney becomes president --  I'll move back to TT. #realtalk ,0,253662929113714689,10,04,10,08,0,0,0,2012-10-04 10:08:49
 Interesting --  relatable(?) start for the president --  discusses anniversary with Mrs. Hmmm. #Debates #voteRIT ,0,253662232762793984,10,04,10,06,0,0,0,2012-10-04 10:06:03
 Romney's answer on jobs was better #PresidentialDebate --  Energy Independence is a huge key --  3 of his 5 matched Obama's ,0,253663314461216768,10,04,10,10,0,0,0,2012-10-04 10:10:21
 #Romney ,0,253663309541298176,10,04,10,10,0,1,0,2012-10-04 10:10:20
 OBAMA OBAMA OBAMA OBAMA OBAMA OBAMA OBAMA OBAMA OBAMA OBAMA OBAMA OBAMA #Debates ,0,253663217941893121,10,04,10,09,0,0,0,2012-10-04 10:09:58
 Barack Obama's voice is amazing. #TrueLeader #Debates ,2,253662441521692673,10,04,10,06,1,0,253662170993283073,2012-10-04 10:06:53
 RT @NARAL: Romney supports a smaller government - except when it comes to a woman’s right to choose. #debates #presdebate ,0,253663193019342849,10,04,10,09,0,0,0,2012-10-04 10:09:52
 RT @grantius_iamme: To me --  Obama is more than just a president. ,0,253663599338340353,10,04,10,11,1,0,253661021179371520,2012-10-04 10:11:29
 Prezzys makeup artist should be fired #denverdebate ,0,253662874294157312,10,04,10,08,0,0,0,2012-10-04 10:08:36
 #teamobama!!!!! ,0,253662253746900994,10,04,10,06,0,0,0,2012-10-04 10:06:08
 RT @xl0vekc: lmaooo RT @DBoyTaughtMe: Mitt romney is a basic bitch. ,1,253662852819320832,10,04,10,08,0,1,0,2012-10-04 10:08:31
 yeah Romney you tell em #PresidentialDebate #nobama ,0,253662866211733504,10,04,10,08,0,0,0,2012-10-04 10:08:34
 Mitt Romney is frantically writing a Happy Anniversary card to the Obamas.  He forgot! ,87,253663381343596544,10,04,10,10,1,0,253662213318000640,2012-10-04 10:10:37
 #TeamObama ,3,253662944536170497,10,04,10,08,0,1,0,2012-10-04 10:08:53
 @LUCINDAMOORE1 Romne is not realistic at all. Why take the U.S backwards and not forwards. #TeamObama ,1,253663354248384515,10,04,10,10,0,1,0,2012-10-04 10:10:31
 President Obama wants to rebuild America by focusing on creating jobs for the middle class and utilize U.S. natural resources. #Debate ,15,253662860952084480,10,04,10,08,0,1,0,2012-10-04 10:08:33
 I can hear Obama's teleprompter crying from behind stage #DenverDebate ,5,253663107153543168,10,04,10,09,0,1,0,2012-10-04 10:09:32
 @_malindasmith watching the presidential debate. "Mitt Romney's running for president right?" http://t.co/4JFjcFI3 ,0,253663221490282496,10,04,10,09,1,0,253662170351554561,2012-10-04 10:09:59
 MITT ROMNEY LOOKS LIKE MY ASSHOLE ,0,253663146957492226,10,04,10,09,0,0,0,2012-10-04 10:09:41
 Watching The Debate #Obama2012 ,1,253663327870410752,10,04,10,10,0,1,0,2012-10-04 10:10:24
 Lowkey im mad im missing the #PresidentialDebate... ,0,253662978912690176,10,04,10,09,0,0,0,2012-10-04 10:09:01
 Is he sure he's a republican? Small businesses? #debate #DenverDebate #PresidentialDebate ,0,253663067567685633,10,04,10,09,0,0,0,2012-10-04 10:09:22
 Is Romney saying what President Obama said in a different way??? He's not even saying what his TV ads say... #47percent ,10,253663263462682624,10,04,10,10,0,1,0,2012-10-04 10:10:09
 Barack Obama is probably the realist President we could ever have. #Obama2012 ! ,2,253662863405744128,10,04,10,08,0,1,0,2012-10-04 10:08:34
 "I agree with Mitt Romney!" -Barack Obama ,0,253663318722637824,10,04,10,10,0,0,0,2012-10-04 10:10:22
 #Obama now that's a real man .. Happy 20th !!!!! ,1,253662337049952256,10,04,10,06,1,0,253662075895836673,2012-10-04 10:06:28
 #teamobama #fuckromney ,2,253663168923058177,10,04,10,09,0,1,0,2012-10-04 10:09:46
 #FNRDebate #Jobs #MittRomney knows how to save business --  will restore the vitality to get America running on right path again ,0,253662966501740544,10,04,10,08,0,0,0,2012-10-04 10:08:58
 RT @apneetb: #presidentialdebate #OBAMA ,2,253662404699889664,10,04,10,06,1,0,253662035517272065,2012-10-04 10:06:44
 The first thing out of Obama fat month is a lie! #debates ,0,253662220251185153,10,04,10,06,0,0,0,2012-10-04 10:06:00
 #NDAAruling - #DenverDebate Y u Should Be Outraged About The Ruling To Keep #NDAA Indefinite Detention Clause In Effectt... ,2,253662261489577985,10,04,10,06,1,0,253662044681826305,2012-10-04 10:06:10
 #DenverDebate zinger - trickle down government. ,0,253662996109340675,10,04,10,09,0,0,0,2012-10-04 10:09:05
 lets go team!! #obama ,0,253663705202569216,10,04,10,11,0,0,0,2012-10-04 10:11:54
 Nice opening by President Obama....such a romantic man.....#PMTdebate ,1,253662730421145600,10,04,10,08,0,1,0,2012-10-04 10:08:02
 How come the Pres is using "we" instead of "I" tonight?  #debates ,0,253662538603065344,10,04,10,07,0,0,0,2012-10-04 10:07:16
 RT @DjQuestStupid: Retweet if u watching the debate and ready to watch #obama2012 kick ass!!!! ,5,253662345480507392,10,04,10,06,1,0,253661625272377344,2012-10-04 10:06:30
 Debate time...#TeamObama ,1,253662453886488576,10,04,10,06,1,0,253661682587537408,2012-10-04 10:06:56
 Mitt Romney looks pretty hot tonight ,0,253662723370524672,10,04,10,08,0,0,0,2012-10-04 10:08:00
 @BarackObama just spent the first 30 second of his opening statement talking about his wife. Guys --  take notes! #PresidentialDebate ,0,253662488229470208,10,04,10,07,0,0,0,2012-10-04 10:07:04
 Barack Obama is truly a great public speaker #ROMNEYSUCKS #PresidentialDebate #OBAMA ,0,253662409212973056,10,04,10,06,0,0,0,2012-10-04 10:06:45
 Mitt Romney honestly looks like a sleezy sketchball ,0,253662605816766464,10,04,10,07,0,0,0,2012-10-04 10:07:32
 Helll yeah Obama --  DO WURK #PresidentialDebate ,1,253662380297441280,10,04,10,06,0,1,0,2012-10-04 10:06:38
 lol "@EmElleWriter: Meanwhile.. President Obama looks young and fresh and smoove in the face.." ,0,253662589211516928,10,04,10,07,0,0,0,2012-10-04 10:07:28
 #OBAMA #PRESIDENTIALDEBATE LET'S GET IT!! WATCH OBAMA EAT MITT!! LMS/RT IF YOUR WATCHING!! ,0,253662731943686144,10,04,10,08,0,0,0,2012-10-04 10:08:02
 In my complex all I see is Romney bumper stickers. These rich ppl stay giving me the side eye,0,253663595865468929,10,04,10,11,0,0,0,2012-10-04 10:11:28
 Romney looks scared to death. Same look Seamus had on the car!! #debates ,3,253662424396353537,10,04,10,06,0,1,0,2012-10-04 10:06:49
 Darn it --  #Obama. Race to the Top is not a solution --  it's a corporate for-profit fiasco. #rttt #edchat ,0,253663520602865666,10,04,10,11,0,0,0,2012-10-04 10:11:10
 Is #Obama going to say anything true tonight? #Debate ,0,253663414935773184,10,04,10,10,0,0,0,2012-10-04 10:10:45
 Where Are They Now: I just figured out that Mitt Romney played the original Eddie Munster. The hair gave it away. ,0,253662765305176064,10,04,10,08,0,0,0,2012-10-04 10:08:10
 Mitt Romney....SHUT UP.  LMFAOOO ,0,253663721400958976,10,04,10,11,0,0,0,2012-10-04 10:11:58
 I wanna be on tv #debates ,0,253663512012931072,10,04,10,11,0,0,0,2012-10-04 10:11:08
 All these people keep talking about Obama& Romney --  I say throw them both out of the election &have @realDonaldTrump be president --  smart man. ,0,253663411181875200,10,04,10,10,0,0,0,2012-10-04 10:10:44
 take money from 2 wars to rebuild America #Obama #debate ,0,253662333593874432,10,04,10,06,0,0,0,2012-10-04 10:06:27
 Watching the debate.  #TeamOBAMA ,0,253662698057895937,10,04,10,07,0,0,0,2012-10-04 10:07:54
 Obama says thanks to his wife for twenty years. I wonder how many people he won over with that. #presidentialdebate #obama ,0,253662543522971648,10,04,10,07,0,0,0,2012-10-04 10:07:17
 i dont need to watch the debate #obama ,0,253663612453933057,10,04,10,11,0,0,0,2012-10-04 10:11:32
 Hmm... hopefully #POTUS is warming up... Romney seems to have brought his A-game. #debates ,0,253663540911693825,10,04,10,11,0,0,0,2012-10-04 10:11:15
 ewwww just hearing Mitt Romney talk makes me wanna puke ,2,253662637454405632,10,04,10,07,0,1,0,2012-10-04 10:07:40
